id,科目,章,問題種別,年度,問題番号,曜日グループ,問題文,解答,解説
21,生保1,1,小問,,,3,③価格弾力性E(p)は保険料率pの変動率に対する新契約高f(p)の変動率として、次のように表される。,E(p) = -(df(p)/f(p))/(dp/p),
22,生保1,2,小問,,,3,"③解約控除に関する以下の空欄を埋めなさい。
一般に言われている「解約控除の理由」としては、【ア】【イ】【ウ】【エ】があげられる。一般的な保険では、【イ】【ウ】【エ】は考え方自体は否定されないものの、【ア】という主たる理由に伴う付随的な効果であると考えられる。
　また、利率変動型商品等で行っている【オ】を解約控除の一種と考えれば、これは【イ】の考えを反映したものとみなすことができる。",【ア】新契約費の回収　【イ】投資上の不利益　【ウ】逆選択防止　【エ】ペナルティ　【オ】MVA,
23,生保1,2,小問,,,3,③解約返戻金を検討する上で必要な視点を５点あげ、それぞれ簡潔に説明せよ。,"① 健全性
アクチュアリーが検証すべき最も重要な視点の一つであり、解約返戻金の支払いにより、会社の健全性が脅かされないよう、その水準を設定する必要がある。
(残存契約からの収益に期待せず、個々の契約で新契約費未回収分を賄うために解約控除が必要)

② 公平性
「保険契約を解約した者と継続する者」の公平性の観点から、解約控除が必要である。また、解約した者の間の公平性の観点として、契約異動やタイミングの違いによる解約返戻金水準のバランスにも配慮が必要である。

③ 効率性
企業努力を通じ新契約費を低く抑え、その結果として解約控除を低くする努力を行うことも必要である。それにより、他社との競争力を高めることにもつながる。

④ 収益性
予定解約率の設定と解約控除に反映される予定新契約費の設定という利源分析の視点、解約率の変動により、収益がどのように変動するかという感応度の視点が必要である。後者は特に、低・無解約返戻金型の商品の場合には重要となる。

⑤ 契約者の合理的期待
明確な定義があるわけではないが、「保険会社はこれぐらいの配慮をしてくれているだろう」という、一般消費者の保険会社に対する社会通念に基づく期待に配慮する必要がある。",
24,生保1,2,小問,,,3,③解約控除の必要性について､「健全性」および「公平性」の観点から、それぞれ簡潔に説明せよ。,"＜健全性＞
解約控除は、新契約費用に関して健全性の視点で設定していると見ることができる。残存契約からの収益に期待せずに、個々の契約で新契約費未回収分を賄うためには解約控除が必要となる。

＜公平性＞
｢保険契約を解約した者と継続する者｣との公平性の観点から、解約控除が必要である。解約者の新契約費の未回収部分の負担を、保険を継続した者に負わせることは、継続者の配当財源や責任準備金積立財源を削ることになり、公平性に欠くと考えられる。",
25,生保1,2,小問,,,3,③近年、一時払貯蓄商品に導入されているＭＶＡという仕組みにつき、その概要とメリット・デメリットを簡潔に説明せよ。,"(概要)
債券による運用を行う商品の場合、加入後の金利変動時に、保有債券の価格が変動する。伝統的な約定された解約返戻金の場合、解約時に売却損益が発生する。そのため、このような売却損益のリスクを抑えるべく、市中金利に応じた債券価格の変動に連動した解約返戻金を設定するスキームがＭＶＡである。

(メリット)
市中金利に応じた契約者の解約行動(動的解約)について、リスクの削減が可能となる。(売却損の発生リスクの圧縮、および動的解約リスクそのものを圧縮する効果)
リスクが小さくなることから、結果として付利できる予定利率が高まる。

(デメリット)
解約返戻金の額が契約時に定まらず、契約者への説明が困難である。そのため、募集上求められる説明義務も高まる。
伝統的な解約返戻金と比べ、事務が複雑となる。",
26,生保1,2,小問,,,3,"③低・無解約返戻金型商品に関する以下の空欄を埋めなさい。
低・無解約返戻金型商品は、保険料の計算をするうえで【ア】が給付の一つとなっている仕組みの保険商品であり、保険料計算基礎に【イ】を織り込むとともに【ア】を低くまたは無しにすることで保険料の【ウ】を図っている。
　開発する際の留意点としては【エ】【オ】【カ】が挙げられる。【エ】について、商品の仕組みを十分説明していたとしても、長期間経過後に解約する場合はやむを得ないケースが多くなることも考えられるため、商品設計上の工夫として、【キ】【ク】【ケ】【コ】【サ】といった方法を取り入れることも検討する必要がある。","【ア】解約返戻金　【イ】予定解約率　【ウ】低廉化　【エ】保険契約者の理解　【オ】企業行動との関係　【カ】解約返戻金相当額が使用される各種取り扱いへの対応
【キ】解約返戻金をあまり極端に小さくは設定しない　【ク】契約の乗換が頻繁に起こりにくい比較的高齢者向け、あるいは持病のある被保険者向けに設計された契約に導入する　【ケ】保険期間を短く設定する　【コ】解約返戻金を低く抑える期間を短く設定する　【サ】元々が十分な解約返戻金があることが期待されていない掛捨て型商品に導入する",
27,生保1,2,小問,,,3,③低・無解約返戻金型商品の開発にあたり留意すべき点を３点あげ、それぞれについて説明せよ。,"① 契約者の理解
「保険料が低廉であること」の相対として「解約返戻金の水準が抑えられていること」を、契約者に理解してもらったうえで加入いただく必要がある。また、加入時に理解していても、長期経過後には加入時と状況が異なることも想定されるため、契約者保護の観点から、「あまり極端に水準を引き下げない」「あまり解約返戻金を期待されていない商品に限定する」等の配慮も検討する必要がある。

② 企業行動との関係(保障を長期的に提供するという保険会社の責務)
当該商品の場合、経過が深まると、解約増加により解約益により利益が増加する。このような場合、保険会社としては、解約を促進するほうが利益となることから、長期に保証を提供するという本来の趣旨から外れた行動を起こすインセンティブが発生する。このような問題が生じないよう、返戻金の水準を設定する必要がある。

③ 解約返戻金相当額が使用される各種取り扱いへの対応
契約者価額(あるいは解約返戻金)を用いる契約異動(契約者貸付、転換等)について制約がかかることに留意する必要がある。",
28,生保1,2,小問,,,4,④米国の生命保険市場において1970年代後半に発生した「ディスインターミディエーション」と呼ばれる現象が起こった背景を4つ挙げよ,"① 高いインフレーションに伴い、金利が大幅に上昇した。
② 金融自由化に伴い、証券業界・銀行で金利感応度の高い金融商品が次々と生み出されていた。
③ 生命保険商品は伝統的な終身保険が主流であり、金利感応度が低かった。また、契約者貸付利率は固定されていた。
④ 販売代理店は証券・保険の両方の商品を扱うところが多かった。",
29,生保1,5,小問,,,4,"④変額年金の解約控除に関する以下の文章の空欄を埋めなさい。
　変額年金には、【ア】を多くするために、一時払であっても【イ】を最初に計上しないで平準的に予定事業費として計上する商品が多くみられる。その場合、解約返戻金の算出方法は平準払と同じような解約控除方式である。この解約控除期間は伝統的方式と異なり１０年より短い場合がある。
　この背景として次の３点があげられる。
　　・【ウ】
　　・【エ】
　　・【オ】
　解約控除は【カ】であると考えると、その額・適用期間は【キ】の額・仕組みと関係が深い。現在、変額年金は【ク】等の特定の【ケ】で販売されていることが多い。今後、営業職員を含めた複数の【ケ】で変額年金を販売していくときには、【ケ】ごとの【キ】体系の差異を考慮する必要がある。","【ア】運用資産　【イ】新契約費　【ウ】変額年金では解約返戻金はその商品の重要な要素である
【エ】競合する商品は通常の保険商品ではなく、投資信託等の他の金融商品である
【オ】特定保険契約として解約控除を開示している
【カ】新契約費の未償却部分　【キ】コミッション　【ク】金融機関代理店　【ケ】チャネル",
30,生保1,2,小問,,,4,"④解約リスクに関する記述について、以下の空欄を埋めなさい。
解約リスクには､二つの側面がある｡一つは【①】といい過去に起因するリスクである｡解約の増加によって過去に支出した【②】が回収できなくなる｡または､解約の減少によって保険料率で想定していた【③】が得られなくなる｡なお､後者は低・無解約返戻金型商品に係るリスクである｡二つ目は､【④】といい将来に向けてのリスクである。これは解約の増加によって【⑤】するものである。","① 解約益リスク　② 新契約費
③ 解約収入　④ 継続リスク
⑤ 将来の収益が減少",
31,生保1,4,小問,,,4,④金融商品取引法の行為規制の一部が準用される保険契約として、保険業法第300条の2に規定されている「特定保険契約」について、具体的に含まれる保険種類を挙げて、簡潔に説明しなさい,"･金融商品取引法の行為規制の一部が準用される、市場リスクを有する生命保険（金利、通貨の価格、金融市場における相場その他の指標に係る変動により損失が生ずるおそれがある保険契約）のこと。
･具体的には、変額保険、変額年金保険、外貨建て保険、MVAの機能を有する保険などがこれに含まれる。
･特定保険契約の販売・勧誘に当たっては、顧客の知識、経験、財産の状況および特定保険契約を締結する目的を的確に把握の上、顧客属性などに則した適正な販売・勧誘の履行を確保することが必要とされている。",
32,生保1,3,小問,,,4,④アセット・シェアの一般的な定義について簡潔に説明したうえで、アセット・シェア計算の代表的な活用目的を４つ挙げなさい。,"定義：
保険契約を保険数理上同質と認められる群団に区分し、これから生じるキャッシュフローを実績に基づく運用利回り、死亡率、事業費、解約失効率等を用いて計算して得られる正味資産をある時点において各契約に割り当てた個々契約の持分もしくは貢献度

活用目的：
「保険料率の計算」、「責任準備金の充分性の確認」、「配当率決定と財源確認」、「会社組織変更における社員持分資産の確定」",
33,生保1,3,小問,,,4,④アセットシェア計算の目的を挙げ、それぞれ簡潔に説明せよ。,"① 保険料率の計算
将来の利益目標を定めて保険料率を算出する場合に活用される。

② 責任準備金の充分性の確認
保険会社の負債としての責任準備金が、保険金支払能力を維持し得るかどうか、アセットシェアの手法を利用した。将来収支分析を行って判断する。

③ 配当率決定と財源確認
配当を分配するにあたり、各契約群団での分配可能額の算定や各群団間で公正衡平な取り扱いとなっているか否かの検証に活用する。

④ 会社組織変更における社員持分資産の確定
相互会社の株式会社化、清算等の会社組織変更にあたっては、社員ごとの持分資産の算定が必要となるが、この場合にもアセットシェアが活用される。

※その他
解約返戻金の水準検証、商品販売政策の立案、営業職員給与規程の検証、等",
34,生保1,3,小問,,,4,④アセットシェア計算における「契約群団方式」について、簡潔に説明せよ。,"「契約群団方式」
契約群団として包括的にアセットシェア計算を行う方式である。契約群団の設定に当たっては、その群団を構成する保険契約が損益の発生状況の上で同等であるとみなせる範囲で設定することが求められる。区分経理上の商品区分、保険事故の種類、契約経過年度別が最低限の群団化となるが、実際にはさらなる細分化が必要であろう。ただし、精度の向上と実務負荷はトレードオフの関係にあるため、アセットシェアの活用目的や重要性に応じて判断することになる。",
35,生保1,3,小問,,,4,④アセットシェア計算要素である事業費の設定にあたり、考慮すべき点を説明せよ。,"事業費は財務会計上、群団別に管理しないのが一般的であり、過年度実績の把握には配賦計算を要する。例えば、区分経理の配賦基準を商品区分内で適用して各群団に配賦するのは、最も自然な方法である。
将来計算では、想定される支出実態に応じた事業費の設定を図る。着眼点の例としては、
① 営業職員給与、代理店報酬の反映(経過年度別の設定も考慮)
② 販売チャネル別固定費の設定
③ 選択方法別医務経費の設定
④ 収納経路別集金費の設定
⑤ 件数比例経費の設定
などがあげられる。

将来の新契約に対応する計算の場合、事業費全体を固定費と変動費に分解し、新契約費が純増加すると見込める部分に対しては変動費だけを計算対象に含める方法もある。ただし、この場合の固定費と変動費の区分は、財務分析での各費用の取扱をそのまま踏襲するのではなく、固定費に通常含まれる費用であっても、契約量増大に伴い増加が予想される場合は、その部分を変動費にする、などの慎重な取り扱いが必要となろう。",
36,生保1,1,小問,,,4,④保険料率の設定手法の1つであるイクエーション方式について、概要を説明し、特徴を3つ挙げよ,"＜概要＞
保険料の収入現価が、給付金・事業費等の支出現価と利益現価の合計に等しいという前提から方程式を導き、営業保険料率を求める方式

＜特徴＞
① 原理が単純であり、計算量が少なくて済む。
② 利益目標を明示的に取り扱える。
③ 保険年度ごとの利益水準がそのままでは不明であること。",
37,生保1,1,小問,,,5,⑤保険料率の設定手法の1つであるアキュムレーション方式について、定義を述べ、特徴を3つ挙げよ,"＜定義＞
将来のある時点を定め、収支残の累積計算による純利益が利益目標に見合う営業保険料を次のような手順で求めるものである。
① 仮保険料率を別の手法で定めておく。
② その仮保険料率を用い、累積収支残を計算する。
③ 仮保険料率の変動１単位あたりの純利益の影響を計算する。
④ ③の結果を用い、利益目標に見合う保険料率を求める。

＜特徴＞
・ 利益目標に連動して保険料率をトライアンドエラーにより設定できる。
・ 各経過年度末の累積収支残を算出しているため、状況の変化に伴って収益性を検証し、場合によっては保険料率を変更するなどの試算も容易にできる。
・ 複数の利益目標の設定にも対応できる。
・ 計算が複雑である。",
38,生保1,1,小問,,,5,⑤保険料の設定において、利益目標を考慮しないとする。このとき、営業保険料中の安全割増の役割を3つ挙げよ,"① 実際発生率が予定発生率から偶然に変動するリスクや異常リスクが実現する場合への備え
② （結果として）調達資本に対する利益還元財源の確保(株主配当、基金利息、劣後ローン借入利息等のための財源)
③ （結果として）純利益の確保(ソルベンシー充実のための財源)",
39,生保1,3,小問,,,5,"⑤「生命保険会社の保険計理人の実務基準｣第23条に関する以下の空欄を埋めなさい。
＜第23条(アセット･シェアと代表契約の選定)＞
1.保険経理人は､【①】として【②】を支払う契約については､代表契約を選定し､第24条および第25条の規定に従い､アセット･シェアに基づき配当を確認しなければならない。
2.アセット･シェア方式とは、「代表契約の設定などにより､会社の資産の時価に対する保険契約の【③】(アセット･シェア)を評価する手法｣であり､これにより求められた契約のアセット･シェアと対応責任準備金との差額をネット・アセット･シェアという。
3.保険計理人は､第,項の代表契約の選定に際しては､選定単位を設定し､各単位の当年度末有効契約の収支状況を代表していると考えられる契約を､各選定単位の代表契約としなければならない。
4.前項の選定単位は､以下の項目によって最低限区分して､設定しなければならない。
①【④】
②【⑤】
③【⑥】
5.第3項の選定単位は､前項の項目の他に､以下の項目によってさらに細かく区分することもできる。
①【⑦】
②【⑧】
③【⑨】
④【⑩】
⑤【⑪】
⑥【⑫】
⑦【⑬】
⑧【⑭】","① 最終精算　② 消滅時配当
③ 貢献度　④ 区分経理の商品区分
⑤ 保険事故の種類　⑥ 契約経過年度
⑦ 基礎書類上の保険種類　⑧ 販売経路
⑨ 危険選択手法　⑩ 性別　⑪ 契約年齢
⑫ 保険料払込方法 ⑬ 保険金額 ⑫ 保険期間",
